timestamp,frequency_offset_hz,power_db
2026-08-26T11:52:26.274-04:00,-19.921875,-98.096626
2026-08-26T11:52:26.274-04:00,-19.726562,-98.182083
2026-08-26T11:52:26.274-04:00,-19.531250,-101.115814
2026-08-26T11:52:26.274-04:00,-19.335938,-99.551315
2026-08-26T11:52:26.274-04:00,-19.140625,-94.676956
2026-08-26T11:52:26.274-04:00,-18.945312,-91.735046
2026-08-26T11:52:26.274-04:00,-18.750000,-91.342789
2026-08-26T11:52:26.274-04:00,-18.554688,-94.696350
2026-08-26T11:52:26.274-04:00,-18.359375,-99.602722
2026-08-26T11:52:26.274-04:00,-18.164062,-102.593033
2026-08-26T11:52:26.274-04:00,-17.968750,-97.587669
2026-08-26T11:52:26.274-04:00,-17.773438,-98.888100
2026-08-26T11:52:26.274-04:00,-17.578125,-103.245743
2026-08-26T11:52:26.274-04:00,-17.382812,-98.143799
2026-08-26T11:52:26.274-04:00,-17.187500,-94.909058
2026-08-26T11:52:26.274-04:00,-16.992188,-89.599792
2026-08-26T11:52:26.274-04:00,-16.796875,-87.831558
2026-08-26T11:52:26.274-04:00,-16.601562,-89.893799
2026-08-26T11:52:26.274-04:00,-16.406250,-98.777199
2026-08-26T11:52:26.274-04:00,-16.210938,-101.247643
2026-08-26T11:52:26.274-04:00,-16.015625,-99.159851
2026-08-26T11:52:26.274-04:00,-15.820312,-101.025330
2026-08-26T11:52:26.274-04:00,-15.625000,-96.972588
2026-08-26T11:52:26.274-04:00,-15.429688,-89.266350
2026-08-26T11:52:26.274-04:00,-15.234375,-88.842102
2026-08-26T11:52:26.274-04:00,-15.039062,-91.145081
2026-08-26T11:52:26.274-04:00,-14.843750,-94.527100
2026-08-26T11:52:26.274-04:00,-14.648438,-94.965584
2026-08-26T11:52:26.274-04:00,-14.453125,-92.203171
2026-08-26T11:52:26.274-04:00,-14.257812,-90.866554
2026-08-26T11:52:26.274-04:00,-14.062500,-89.204933
2026-08-26T11:52:26.274-04:00,-13.867188,-86.961807
2026-08-26T11:52:26.274-04:00,-13.671875,-86.951569
2026-08-26T11:52:26.274-04:00,-13.476562,-88.672218
2026-08-26T11:52:26.274-04:00,-13.281250,-89.851807
2026-08-26T11:52:26.274-04:00,-13.085938,-89.320175
2026-08-26T11:52:26.274-04:00,-12.890625,-92.969147
2026-08-26T11:52:26.274-04:00,-12.695312,-92.736809
2026-08-26T11:52:26.274-04:00,-12.500000,-86.894363
2026-08-26T11:52:26.274-04:00,-12.304688,-84.925545
2026-08-26T11:52:26.274-04:00,-12.109375,-84.288368
2026-08-26T11:52:26.274-04:00,-11.914062,-85.392990
2026-08-26T11:52:26.274-04:00,-11.718750,-86.083771
2026-08-26T11:52:26.274-04:00,-11.523438,-88.402908
2026-08-26T11:52:26.274-04:00,-11.328125,-93.890472
2026-08-26T11:52:26.274-04:00,-11.132812,-87.468567
2026-08-26T11:52:26.274-04:00,-10.937500,-84.380096
2026-08-26T11:52:26.274-04:00,-10.742188,-87.455124
2026-08-26T11:52:26.274-04:00,-10.546875,-90.243233
2026-08-26T11:52:26.274-04:00,-10.351562,-87.593475
2026-08-26T11:52:26.274-04:00,-10.156250,-92.628601
2026-08-26T11:52:26.274-04:00,-9.960938,-100.538391
2026-08-26T11:52:26.274-04:00,-9.765625,-103.472450
2026-08-26T11:52:26.274-04:00,-9.570312,-94.418907
2026-08-26T11:52:26.274-04:00,-9.375000,-83.328026
2026-08-26T11:52:26.274-04:00,-9.179688,-79.427711
2026-08-26T11:52:26.274-04:00,-8.984375,-81.933830
2026-08-26T11:52:26.274-04:00,-8.789062,-85.030022
2026-08-26T11:52:26.274-04:00,-8.593750,-83.545380
2026-08-26T11:52:26.274-04:00,-8.398438,-87.084091
2026-08-26T11:52:26.274-04:00,-8.203125,-95.922630
2026-08-26T11:52:26.274-04:00,-8.007812,-101.561844
2026-08-26T11:52:26.274-04:00,-7.812500,-87.708321
2026-08-26T11:52:26.274-04:00,-7.617188,-82.073357
2026-08-26T11:52:26.274-04:00,-7.421875,-81.721916
2026-08-26T11:52:26.274-04:00,-7.226562,-87.803619
2026-08-26T11:52:26.274-04:00,-7.031250,-85.457245
2026-08-26T11:52:26.274-04:00,-6.835938,-82.486862
2026-08-26T11:52:26.274-04:00,-6.640625,-83.697205
2026-08-26T11:52:26.274-04:00,-6.445312,-79.607445
2026-08-26T11:52:26.274-04:00,-6.250000,-76.181328
2026-08-26T11:52:26.274-04:00,-6.054688,-73.259262
2026-08-26T11:52:26.274-04:00,-5.859375,-72.394722
2026-08-26T11:52:26.274-04:00,-5.664062,-73.395126
2026-08-26T11:52:26.274-04:00,-5.468750,-76.143723
2026-08-26T11:52:26.274-04:00,-5.273438,-80.554611
2026-08-26T11:52:26.274-04:00,-5.078125,-83.450607
2026-08-26T11:52:26.274-04:00,-4.882812,-83.056030
2026-08-26T11:52:26.274-04:00,-4.687500,-86.211861
2026-08-26T11:52:26.274-04:00,-4.492188,-82.708435
2026-08-26T11:52:26.274-04:00,-4.296875,-80.686249
2026-08-26T11:52:26.274-04:00,-4.101562,-81.918755
2026-08-26T11:52:26.274-04:00,-3.906250,-85.391205
2026-08-26T11:52:26.274-04:00,-3.710938,-87.595901
2026-08-26T11:52:26.274-04:00,-3.515625,-77.045288
2026-08-26T11:52:26.274-04:00,-3.320312,-75.758636
2026-08-26T11:52:26.274-04:00,-3.125000,-78.746086
2026-08-26T11:52:26.274-04:00,-2.929688,-79.741852
2026-08-26T11:52:26.274-04:00,-2.734375,-83.329071
2026-08-26T11:52:26.274-04:00,-2.539062,-90.243759
2026-08-26T11:52:26.274-04:00,-2.343750,-84.825409
2026-08-26T11:52:26.274-04:00,-2.148438,-79.682053
2026-08-26T11:52:26.274-04:00,-1.953125,-79.544174
2026-08-26T11:52:26.274-04:00,-1.757812,-89.319687
2026-08-26T11:52:26.274-04:00,-1.562500,-83.976730
2026-08-26T11:52:26.274-04:00,-1.367188,-84.134842
2026-08-26T11:52:26.274-04:00,-1.171875,-101.513214
2026-08-26T11:52:26.274-04:00,-0.976562,-86.255371
2026-08-26T11:52:26.274-04:00,-0.781250,-68.977272
2026-08-26T11:52:26.274-04:00,-0.585938,-59.980907
2026-08-26T11:52:26.274-04:00,-0.390625,-56.568748
2026-08-26T11:52:26.274-04:00,-0.195312,-58.456249
2026-08-26T11:52:26.274-04:00,0.000000,-69.502937
2026-08-26T11:52:26.274-04:00,0.195312,-58.456249
2026-08-26T11:52:26.274-04:00,0.390625,-56.568748
2026-08-26T11:52:26.274-04:00,0.585938,-59.980907
2026-08-26T11:52:26.274-04:00,0.781250,-68.977272
2026-08-26T11:52:26.274-04:00,0.976562,-86.255371
2026-08-26T11:52:26.274-04:00,1.171875,-101.513214
2026-08-26T11:52:26.274-04:00,1.367188,-84.134842
2026-08-26T11:52:26.274-04:00,1.562500,-83.976730
2026-08-26T11:52:26.274-04:00,1.757812,-89.319687
2026-08-26T11:52:26.274-04:00,1.953125,-79.544174
2026-08-26T11:52:26.274-04:00,2.148438,-79.682053
2026-08-26T11:52:26.274-04:00,2.343750,-84.825409
2026-08-26T11:52:26.274-04:00,2.539062,-90.243759
2026-08-26T11:52:26.274-04:00,2.734375,-83.329071
2026-08-26T11:52:26.274-04:00,2.929688,-79.741852
2026-08-26T11:52:26.274-04:00,3.125000,-78.746086
2026-08-26T11:52:26.274-04:00,3.320312,-75.758636
2026-08-26T11:52:26.274-04:00,3.515625,-77.045288
2026-08-26T11:52:26.274-04:00,3.710938,-87.595901
2026-08-26T11:52:26.274-04:00,3.906250,-85.391205
2026-08-26T11:52:26.274-04:00,4.101562,-81.918755
2026-08-26T11:52:26.274-04:00,4.296875,-80.686249
2026-08-26T11:52:26.274-04:00,4.492188,-82.708435
2026-08-26T11:52:26.274-04:00,4.687500,-86.211861
2026-08-26T11:52:26.274-04:00,4.882812,-83.056030
2026-08-26T11:52:26.274-04:00,5.078125,-83.450607
2026-08-26T11:52:26.274-04:00,5.273438,-80.554611
2026-08-26T11:52:26.274-04:00,5.468750,-76.143723
2026-08-26T11:52:26.274-04:00,5.664062,-73.395126
2026-08-26T11:52:26.274-04:00,5.859375,-72.394722
2026-08-26T11:52:26.274-04:00,6.054688,-73.259262
2026-08-26T11:52:26.274-04:00,6.250000,-76.181328
2026-08-26T11:52:26.274-04:00,6.445312,-79.607445
2026-08-26T11:52:26.274-04:00,6.640625,-83.697205
2026-08-26T11:52:26.274-04:00,6.835938,-82.486862
2026-08-26T11:52:26.274-04:00,7.031250,-85.457245
2026-08-26T11:52:26.274-04:00,7.226562,-87.803619
2026-08-26T11:52:26.274-04:00,7.421875,-81.721916
2026-08-26T11:52:26.274-04:00,7.617188,-82.073357
2026-08-26T11:52:26.274-04:00,7.812500,-87.708321
2026-08-26T11:52:26.274-04:00,8.007812,-101.561844
2026-08-26T11:52:26.274-04:00,8.203125,-95.922630
2026-08-26T11:52:26.274-04:00,8.398438,-87.084091
2026-08-26T11:52:26.274-04:00,8.593750,-83.545380
2026-08-26T11:52:26.274-04:00,8.789062,-85.030022
2026-08-26T11:52:26.274-04:00,8.984375,-81.933830
2026-08-26T11:52:26.274-04:00,9.179688,-79.427711
2026-08-26T11:52:26.274-04:00,9.375000,-83.328026
2026-08-26T11:52:26.274-04:00,9.570312,-94.418907
2026-08-26T11:52:26.274-04:00,9.765625,-103.472450
2026-08-26T11:52:26.274-04:00,9.960938,-100.538391
2026-08-26T11:52:26.274-04:00,10.156250,-92.628601
2026-08-26T11:52:26.274-04:00,10.351562,-87.593475
2026-08-26T11:52:26.274-04:00,10.546875,-90.243233
2026-08-26T11:52:26.274-04:00,10.742188,-87.455124
2026-08-26T11:52:26.274-04:00,10.937500,-84.380096
2026-08-26T11:52:26.274-04:00,11.132812,-87.468567
2026-08-26T11:52:26.274-04:00,11.328125,-93.890472
2026-08-26T11:52:26.274-04:00,11.523438,-88.402908
2026-08-26T11:52:26.274-04:00,11.718750,-86.083771
2026-08-26T11:52:26.274-04:00,11.914062,-85.392990
2026-08-26T11:52:26.274-04:00,12.109375,-84.288368
2026-08-26T11:52:26.274-04:00,12.304688,-84.925545
2026-08-26T11:52:26.274-04:00,12.500000,-86.894363
2026-08-26T11:52:26.274-04:00,12.695312,-92.736809
2026-08-26T11:52:26.274-04:00,12.890625,-92.969147
2026-08-26T11:52:26.274-04:00,13.085938,-89.320175
2026-08-26T11:52:26.274-04:00,13.281250,-89.851807
2026-08-26T11:52:26.274-04:00,13.476562,-88.672218
2026-08-26T11:52:26.274-04:00,13.671875,-86.951569
2026-08-26T11:52:26.274-04:00,13.867188,-86.961807
2026-08-26T11:52:26.274-04:00,14.062500,-89.204933
2026-08-26T11:52:26.274-04:00,14.257812,-90.866554
2026-08-26T11:52:26.274-04:00,14.453125,-92.203171
2026-08-26T11:52:26.274-04:00,14.648438,-94.965584
2026-08-26T11:52:26.274-04:00,14.843750,-94.527100
2026-08-26T11:52:26.274-04:00,15.039062,-91.145081
2026-08-26T11:52:26.274-04:00,15.234375,-88.842102
2026-08-26T11:52:26.274-04:00,15.429688,-89.266350
2026-08-26T11:52:26.274-04:00,15.625000,-96.972588
2026-08-26T11:52:26.274-04:00,15.820312,-101.025330
2026-08-26T11:52:26.274-04:00,16.015625,-99.159851
2026-08-26T11:52:26.274-04:00,16.210938,-101.247643
2026-08-26T11:52:26.274-04:00,16.406250,-98.777199
2026-08-26T11:52:26.274-04:00,16.601562,-89.893799
2026-08-26T11:52:26.274-04:00,16.796875,-87.831558
2026-08-26T11:52:26.274-04:00,16.992188,-89.599792
2026-08-26T11:52:26.274-04:00,17.187500,-94.909058
2026-08-26T11:52:26.274-04:00,17.382812,-98.143799
2026-08-26T11:52:26.274-04:00,17.578125,-103.245743
2026-08-26T11:52:26.274-04:00,17.773438,-98.888100
2026-08-26T11:52:26.274-04:00,17.968750,-97.587669
2026-08-26T11:52:26.274-04:00,18.164062,-102.593033
2026-08-26T11:52:26.274-04:00,18.359375,-99.602722
2026-08-26T11:52:26.274-04:00,18.554688,-94.696350
2026-08-26T11:52:26.274-04:00,18.750000,-91.342789
2026-08-26T11:52:26.274-04:00,18.945312,-91.735046
2026-08-26T11:52:26.274-04:00,19.140625,-94.676956
2026-08-26T11:52:26.274-04:00,19.335938,-99.551315
2026-08-26T11:52:26.274-04:00,19.531250,-101.115814
2026-08-26T11:52:26.274-04:00,19.726562,-98.182083
2026-08-26T11:52:26.274-04:00,19.921875,-98.096626
2026-08-26T11:52:26.821-04:00,-19.921875,-96.776741
2026-08-26T11:52:26.821-04:00,-19.726562,-97.497269
2026-08-26T11:52:26.821-04:00,-19.531250,-99.099586
2026-08-26T11:52:26.821-04:00,-19.335938,-101.280441
2026-08-26T11:52:26.821-04:00,-19.140625,-96.317451
2026-08-26T11:52:26.821-04:00,-18.945312,-92.550667
2026-08-26T11:52:26.821-04:00,-18.750000,-92.899483
2026-08-26T11:52:26.821-04:00,-18.554688,-98.306816
2026-08-26T11:52:26.821-04:00,-18.359375,-109.918251
2026-08-26T11:52:26.821-04:00,-18.164062,-97.972404
2026-08-26T11:52:26.821-04:00,-17.968750,-95.769470
2026-08-26T11:52:26.821-04:00,-17.773438,-95.987381
2026-08-26T11:52:26.821-04:00,-17.578125,-96.838501
2026-08-26T11:52:26.821-04:00,-17.382812,-101.058655
2026-08-26T11:52:26.821-04:00,-17.187500,-100.244064
2026-08-26T11:52:26.821-04:00,-16.992188,-90.913322
2026-08-26T11:52:26.821-04:00,-16.796875,-90.006859
2026-08-26T11:52:26.821-04:00,-16.601562,-91.598251
2026-08-26T11:52:26.821-04:00,-16.406250,-95.011360
2026-08-26T11:52:26.821-04:00,-16.210938,-100.838966
2026-08-26T11:52:26.821-04:00,-16.015625,-112.576660
2026-08-26T11:52:26.821-04:00,-15.820312,-97.335297
2026-08-26T11:52:26.821-04:00,-15.625000,-91.981804
2026-08-26T11:52:26.821-04:00,-15.429688,-88.593796
2026-08-26T11:52:26.821-04:00,-15.234375,-90.359268
2026-08-26T11:52:26.821-04:00,-15.039062,-93.533813
2026-08-26T11:52:26.821-04:00,-14.843750,-95.984894
2026-08-26T11:52:26.821-04:00,-14.648438,-97.950447
2026-08-26T11:52:26.821-04:00,-14.453125,-95.265823
2026-08-26T11:52:26.821-04:00,-14.257812,-97.803986
2026-08-26T11:52:26.821-04:00,-14.062500,-95.624855
2026-08-26T11:52:26.821-04:00,-13.867188,-89.154861
2026-08-26T11:52:26.821-04:00,-13.671875,-86.667480
2026-08-26T11:52:26.821-04:00,-13.476562,-88.996048
2026-08-26T11:52:26.821-04:00,-13.281250,-100.279755
2026-08-26T11:52:26.821-04:00,-13.085938,-92.699623
2026-08-26T11:52:26.821-04:00,-12.890625,-90.663490
2026-08-26T11:52:26.821-04:00,-12.695312,-88.669357
2026-08-26T11:52:26.821-04:00,-12.500000,-85.791351
2026-08-26T11:52:26.821-04:00,-12.304688,-85.370438
2026-08-26T11:52:26.821-04:00,-12.109375,-87.567863
2026-08-26T11:52:26.821-04:00,-11.914062,-93.474503
2026-08-26T11:52:26.821-04:00,-11.718750,-89.007950
2026-08-26T11:52:26.821-04:00,-11.523438,-86.176765
2026-08-26T11:52:26.821-04:00,-11.328125,-85.971451
2026-08-26T11:52:26.821-04:00,-11.132812,-84.414024
2026-08-26T11:52:26.821-04:00,-10.937500,-83.912720
2026-08-26T11:52:26.821-04:00,-10.742188,-84.812813
2026-08-26T11:52:26.821-04:00,-10.546875,-85.053421
2026-08-26T11:52:26.821-04:00,-10.351562,-85.484436
2026-08-26T11:52:26.821-04:00,-10.156250,-89.007195
2026-08-26T11:52:26.821-04:00,-9.960938,-96.120140
2026-08-26T11:52:26.821-04:00,-9.765625,-109.800278
2026-08-26T11:52:26.821-04:00,-9.570312,-91.668022
2026-08-26T11:52:26.821-04:00,-9.375000,-83.108917
2026-08-26T11:52:26.821-04:00,-9.179688,-79.251114
2026-08-26T11:52:26.821-04:00,-8.984375,-79.477150
2026-08-26T11:52:26.821-04:00,-8.789062,-81.440117
2026-08-26T11:52:26.821-04:00,-8.593750,-83.274628
2026-08-26T11:52:26.821-04:00,-8.398438,-87.429344
2026-08-26T11:52:26.821-04:00,-8.203125,-97.235527
2026-08-26T11:52:26.821-04:00,-8.007812,-98.286018
2026-08-26T11:52:26.821-04:00,-7.812500,-87.927185
2026-08-26T11:52:26.821-04:00,-7.617188,-82.677612
2026-08-26T11:52:26.821-04:00,-7.421875,-81.034401
2026-08-26T11:52:26.821-04:00,-7.226562,-81.527359
2026-08-26T11:52:26.821-04:00,-7.031250,-81.260063
2026-08-26T11:52:26.821-04:00,-6.835938,-83.007126
2026-08-26T11:52:26.821-04:00,-6.640625,-100.241158
2026-08-26T11:52:26.821-04:00,-6.445312,-78.846329
2026-08-26T11:52:26.821-04:00,-6.250000,-73.992630
2026-08-26T11:52:26.821-04:00,-6.054688,-72.794998
2026-08-26T11:52:26.821-04:00,-5.859375,-73.701698
2026-08-26T11:52:26.821-04:00,-5.664062,-74.994553
2026-08-26T11:52:26.821-04:00,-5.468750,-78.022438
2026-08-26T11:52:26.821-04:00,-5.273438,-82.066772
2026-08-26T11:52:26.821-04:00,-5.078125,-82.547546
2026-08-26T11:52:26.821-04:00,-4.882812,-83.259033
2026-08-26T11:52:26.821-04:00,-4.687500,-82.639320
2026-08-26T11:52:26.821-04:00,-4.492188,-79.613243
2026-08-26T11:52:26.821-04:00,-4.296875,-77.711723
2026-08-26T11:52:26.821-04:00,-4.101562,-78.368080
2026-08-26T11:52:26.821-04:00,-3.906250,-81.305855
2026-08-26T11:52:26.821-04:00,-3.710938,-81.940445
2026-08-26T11:52:26.821-04:00,-3.515625,-77.556450
2026-08-26T11:52:26.821-04:00,-3.320312,-74.701775
2026-08-26T11:52:26.821-04:00,-3.125000,-75.485390
2026-08-26T11:52:26.821-04:00,-2.929688,-78.928925
2026-08-26T11:52:26.821-04:00,-2.734375,-85.237282
2026-08-26T11:52:26.821-04:00,-2.539062,-98.384705
2026-08-26T11:52:26.821-04:00,-2.343750,-84.381516
2026-08-26T11:52:26.821-04:00,-2.148438,-79.489151
2026-08-26T11:52:26.821-04:00,-1.953125,-78.994148
2026-08-26T11:52:26.821-04:00,-1.757812,-80.875633
2026-08-26T11:52:26.821-04:00,-1.562500,-81.920471
2026-08-26T11:52:26.821-04:00,-1.367188,-83.572281
2026-08-26T11:52:26.821-04:00,-1.171875,-85.725594
2026-08-26T11:52:26.821-04:00,-0.976562,-86.465614
2026-08-26T11:52:26.821-04:00,-0.781250,-66.749832
2026-08-26T11:52:26.821-04:00,-0.585938,-56.839775
2026-08-26T11:52:26.821-04:00,-0.390625,-52.440727
2026-08-26T11:52:26.821-04:00,-0.195312,-53.122429
2026-08-26T11:52:26.821-04:00,0.000000,-57.296177
2026-08-26T11:52:26.821-04:00,0.195312,-53.122429
2026-08-26T11:52:26.821-04:00,0.390625,-52.440727
2026-08-26T11:52:26.821-04:00,0.585938,-56.839775
2026-08-26T11:52:26.821-04:00,0.781250,-66.749832
2026-08-26T11:52:26.821-04:00,0.976562,-86.465614
2026-08-26T11:52:26.821-04:00,1.171875,-85.725594
2026-08-26T11:52:26.821-04:00,1.367188,-83.572281
2026-08-26T11:52:26.821-04:00,1.562500,-81.920471
2026-08-26T11:52:26.821-04:00,1.757812,-80.875633
2026-08-26T11:52:26.821-04:00,1.953125,-78.994148
2026-08-26T11:52:26.821-04:00,2.148438,-79.489151
2026-08-26T11:52:26.821-04:00,2.343750,-84.381516
2026-08-26T11:52:26.821-04:00,2.539062,-98.384705
2026-08-26T11:52:26.821-04:00,2.734375,-85.237282
2026-08-26T11:52:26.821-04:00,2.929688,-78.928925
2026-08-26T11:52:26.821-04:00,3.125000,-75.485390
2026-08-26T11:52:26.821-04:00,3.320312,-74.701775
2026-08-26T11:52:26.821-04:00,3.515625,-77.556450
2026-08-26T11:52:26.821-04:00,3.710938,-81.940445
2026-08-26T11:52:26.821-04:00,3.906250,-81.305855
2026-08-26T11:52:26.821-04:00,4.101562,-78.368080
2026-08-26T11:52:26.821-04:00,4.296875,-77.711723
2026-08-26T11:52:26.821-04:00,4.492188,-79.613243
2026-08-26T11:52:26.821-04:00,4.687500,-82.639320
2026-08-26T11:52:26.821-04:00,4.882812,-83.259033
