timestamp,frequency_offset_hz,power_db
2026-08-25T19:22:52.747-04:00,-999.755859,-30.388956
2026-08-25T19:22:52.747-04:00,-999.298096,-30.626371
2026-08-25T19:22:52.747-04:00,-998.840332,-27.008461
2026-08-25T19:22:52.747-04:00,-998.382568,-24.969749
2026-08-25T19:22:52.747-04:00,-997.924805,-25.971582
2026-08-25T19:22:52.747-04:00,-997.467041,-29.897575
2026-08-25T19:22:52.747-04:00,-997.009277,-35.613708
2026-08-25T19:22:52.747-04:00,-996.551514,-29.078892
2026-08-25T19:22:52.747-04:00,-996.093750,-31.124847
2026-08-25T19:22:52.747-04:00,-995.635986,-32.497726
2026-08-25T19:22:52.747-04:00,-995.178223,-27.532785
2026-08-25T19:22:52.747-04:00,-994.720459,-26.492270
2026-08-25T19:22:52.747-04:00,-994.262695,-24.835285
2026-08-25T19:22:52.747-04:00,-993.804932,-22.883520
2026-08-25T19:22:52.747-04:00,-993.347168,-21.661108
2026-08-25T19:22:52.747-04:00,-992.889404,-22.149981
2026-08-25T19:22:52.747-04:00,-992.431641,-26.476723
2026-08-25T19:22:52.747-04:00,-991.973877,-34.552376
2026-08-25T19:22:52.747-04:00,-991.516113,-28.682606
2026-08-25T19:22:52.747-04:00,-991.058350,-26.833784
2026-08-25T19:22:52.747-04:00,-990.600586,-27.615032
2026-08-25T19:22:52.747-04:00,-990.142822,-28.581209
2026-08-25T19:22:52.747-04:00,-989.685059,-25.984182
2026-08-25T19:22:52.747-04:00,-989.227295,-22.289209
2026-08-25T19:22:52.747-04:00,-988.769531,-22.019459
2026-08-25T19:22:52.747-04:00,-988.311768,-23.460329
2026-08-25T19:22:52.747-04:00,-987.854004,-25.253353
2026-08-25T19:22:52.747-04:00,-987.396240,-30.351318
2026-08-25T19:22:52.747-04:00,-986.938477,-33.664299
2026-08-25T19:22:52.747-04:00,-986.480713,-26.929173
2026-08-25T19:22:52.747-04:00,-986.022949,-22.215389
2026-08-25T19:22:52.747-04:00,-985.565186,-22.216728
2026-08-25T19:22:52.747-04:00,-985.107422,-25.576439
2026-08-25T19:22:52.747-04:00,-984.649658,-26.856968
2026-08-25T19:22:52.747-04:00,-984.191895,-26.131361
2026-08-25T19:22:52.747-04:00,-983.734131,-29.790260
2026-08-25T19:22:52.747-04:00,-983.276367,-44.429203
2026-08-25T19:22:52.747-04:00,-982.818604,-36.071598
2026-08-25T19:22:52.747-04:00,-982.360840,-44.884876
2026-08-25T19:22:52.747-04:00,-981.903076,-35.806778
2026-08-25T19:22:52.747-04:00,-981.445312,-35.207726
2026-08-25T19:22:52.747-04:00,-980.987549,-51.305664
2026-08-25T19:22:52.747-04:00,-980.529785,-30.385859
2026-08-25T19:22:52.747-04:00,-980.072021,-25.475531
2026-08-25T19:22:52.747-04:00,-979.614258,-23.389690
2026-08-25T19:22:52.747-04:00,-979.156494,-21.964415
2026-08-25T19:22:52.747-04:00,-978.698730,-21.649382
2026-08-25T19:22:52.747-04:00,-978.240967,-22.384521
2026-08-25T19:22:52.747-04:00,-977.783203,-23.165882
2026-08-25T19:22:52.747-04:00,-977.325439,-23.502399
2026-08-25T19:22:52.747-04:00,-976.867676,-22.511881
2026-08-25T19:22:52.747-04:00,-976.409912,-21.268576
2026-08-25T19:22:52.747-04:00,-975.952148,-22.182329
2026-08-25T19:22:52.747-04:00,-975.494385,-23.990627
2026-08-25T19:22:52.747-04:00,-975.036621,-24.155964
2026-08-25T19:22:52.747-04:00,-974.578857,-24.145111
2026-08-25T19:22:52.747-04:00,-974.121094,-25.833794
2026-08-25T19:22:52.747-04:00,-973.663330,-30.952253
2026-08-25T19:22:52.747-04:00,-973.205566,-41.804691
2026-08-25T19:22:52.747-04:00,-972.747803,-26.185688
2026-08-25T19:22:52.747-04:00,-972.290039,-23.142803
2026-08-25T19:22:52.747-04:00,-971.832275,-23.903469
2026-08-25T19:22:52.747-04:00,-971.374512,-26.191151
2026-08-25T19:22:52.747-04:00,-970.916748,-29.921192
2026-08-25T19:22:52.747-04:00,-970.458984,-28.964203
2026-08-25T19:22:52.747-04:00,-970.001221,-23.866360
2026-08-25T19:22:52.747-04:00,-969.543457,-22.568718
2026-08-25T19:22:52.747-04:00,-969.085693,-22.092846
