timestamp,frequency_offset_hz,power_db
2026-08-25T16:23:18.722-04:00,-4995.117188,-12.738522
2026-08-25T16:23:18.722-04:00,-4987.792969,-20.739935
2026-08-25T16:23:18.722-04:00,-4980.468750,-18.602007
2026-08-25T16:23:18.722-04:00,-4973.144531,-16.483734
2026-08-25T16:23:18.722-04:00,-4965.820312,-17.120138
2026-08-25T16:23:18.722-04:00,-4958.496094,-17.757500
2026-08-25T16:23:18.722-04:00,-4951.171875,-22.956501
2026-08-25T16:23:18.722-04:00,-4943.847656,-18.825609
2026-08-25T16:23:18.722-04:00,-4936.523438,-15.706606
2026-08-25T16:23:18.722-04:00,-4929.199219,-14.723005
2026-08-25T16:23:18.722-04:00,-4921.875000,-16.218601
2026-08-25T16:23:18.722-04:00,-4914.550781,-19.610960
2026-08-25T16:23:18.722-04:00,-4907.226562,-13.126909
2026-08-25T16:23:18.722-04:00,-4899.902344,-14.083158
2026-08-25T16:23:18.722-04:00,-4892.578125,-21.463005
2026-08-25T16:23:18.722-04:00,-4885.253906,-14.124745
2026-08-25T16:23:18.722-04:00,-4877.929688,-10.881454
2026-08-25T16:23:18.722-04:00,-4870.605469,-13.748070
2026-08-25T16:23:18.722-04:00,-4863.281250,-20.980951
2026-08-25T16:23:18.722-04:00,-4855.957031,-18.614635
2026-08-25T16:23:18.722-04:00,-4848.632812,-15.267000
2026-08-25T16:23:18.722-04:00,-4841.308594,-19.932186
2026-08-25T16:23:18.722-04:00,-4833.984375,-12.593974
2026-08-25T16:23:18.722-04:00,-4826.660156,-10.932768
2026-08-25T16:23:18.722-04:00,-4819.335938,-12.383108
2026-08-25T16:23:18.722-04:00,-4812.011719,-14.250208
2026-08-25T16:23:18.722-04:00,-4804.687500,-16.127876
2026-08-25T16:23:18.722-04:00,-4797.363281,-22.049698
2026-08-25T16:23:18.722-04:00,-4790.039062,-25.741331
2026-08-25T16:23:18.722-04:00,-4782.714844,-15.083184
2026-08-25T16:23:18.722-04:00,-4775.390625,-14.411439
2026-08-25T16:23:18.722-04:00,-4768.066406,-15.697732
2026-08-25T16:23:18.722-04:00,-4760.742188,-16.994160
2026-08-25T16:23:18.722-04:00,-4753.417969,-18.365229
2026-08-25T16:23:18.722-04:00,-4746.093750,-21.206928
2026-08-25T16:23:18.722-04:00,-4738.769531,-24.985149
2026-08-25T16:23:18.722-04:00,-4731.445312,-22.550631
2026-08-25T16:23:18.722-04:00,-4724.121094,-15.542608
